,<S>,ADJ,ADV,CONJ,DET,EZ,N,NUM,PART,POST,PREP,PRON,Unknown,V
dehē,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
pas aziš,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001,1e-04,1e-04,1e-04
angūr,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
rad,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,35.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
gōhrīdan,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1.7260001
šāhryārān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
pahlomān,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
warr,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,5.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
abāzpaywandišnīh,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
dāmiz,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,6.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
īm,0.0,1e-04,1e-04,5.726,1e-04,1.7260001,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
brēhēnīdan,0.0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2.726
ēdiz rāy,0.0,1e-04,1e-04,2.726,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
